PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
28;079;35;86;28079035_86_98;2022;01;58;V;63;V;71;V;81;V;72;V;72;V;62;V;72;V;67;V;65;V;63;V;51;V;53;V;56;V;56;V;62;V;58;V;50;V;43;V;51;V;53;V;53;V;62;V;59;V;57;V;58;V;46;V;30;V;28;V;28;V;34;V
28;079;35;86;28079035_86_98;2022;02;48;V;53;V;53;V;62;V;54;V;39;V;44;V;45;V;50;V;55;V;50;N;-25;N;-25;N;-20;N;53;V;57;V;61;V;59;V;51;V;47;V;44;V;22;V;32;V;38;V;67;V;77;V;67;V;60;V;00000;N;00000;N;00000;N
28;079;36;83;28079036_83_98;2022;01;9.7;V;9.4;V;9.1;V;8.3;V;6.2;V;4.4;V;4.8;V;4;V;8.9;V;11.3;V;10.4;V;7.2;V;4.4;V;3.3;V;3.3;V;3.5;V;4.4;V;5.1;V;5.6;V;6.5;V;4.4;V;4.3;V;5;V;6.1;V;7.6;V;5.4;V;6.8;V;7.1;V;7.5;V;8.3;V;8.1;V
28;079;36;83;28079036_83_98;2022;02;10.2;V;11;V;9.9;V;10.2;V;9.6;V;7.8;V;9.2;V;9.8;V;9.2;V;9.1;V;10.7;V;10.3;V;9.6;V;8.1;V;7.7;V;9.7;V;10.4;V;11.5;V;9.5;V;7.7;V;10.7;V;12.2;V;11.7;V;10.7;V;8.6;V;8.3;V;10.1;V;10.9;V;00000;N;00000;N;00000;N
28;079;36;86;28079036_86_98;2022;01;64;V;69;V;81;V;85;V;75;V;80;V;71;V;78;V;73;V;74;V;69;V;59;V;64;V;69;V;68;V;73;V;67;V;56;V;47;V;55;V;62;V;61;V;73;V;68;V;64;V;70;V;55;V;38;V;33;V;32;V;37;V
28;079;36;86;28079036_86_98;2022;02;54;V;59;V;58;V;66;V;61;V;46;V;44;V;53;V;58;V;62;V;60;V;60;V;69;V;63;V;57;V;62;V;70;V;67;V;56;V;54;V;51;V;26;V;36;V;44;V;74;V;83;V;72;V;67;V;00000;N;00000;N;00000;N
28;079;38;83;28079038_83_98;2022;01;11.6;V;10.6;V;10.5;V;7.9;V;5.8;V;5.1;V;5.8;V;4.4;V;9.3;V;12.5;V;10.8;V;8.4;V;6.1;V;5.2;V;5.2;V;5.5;V;6.5;V;7.4;V;8.1;V;7.9;V;5.8;V;5.7;V;6.2;V;6.8;V;7.9;V;7.1;V;8.9;V;9.5;V;10.3;V;10.9;V;9.9;V
28;079;38;83;28079038_83_98;2022;02;11;V;12.4;V;11.3;V;10.5;V;10.3;V;9.1;V;10.9;V;11.2;V;11.2;V;10.6;V;11.9;V;11.3;V;9.6;V;7.6;V;8.1;V;9.6;V;12.1;V;12.8;V;10;V;9;V;11.8;V;13.7;V;13;V;12.1;V;9;V;8.2;V;9.8;V;12;V;00000;N;00000;N;00000;N
28;079;38;86;28079038_86_98;2022;01;55;V;62;V;73;V;84;V;75;V;74;V;63;V;73;V;71;V;67;V;64;V;52;V;55;V;57;V;56;V;63;V;58;V;47;V;38;V;50;V;55;V;55;V;66;V;62;V;60;V;60;V;46;V;29;V;25;V;24;V;30;V
28;079;38;86;28079038_86_98;2022;02;49;V;52;V;53;V;63;V;56;V;39;V;38;V;46;V;50;V;55;V;54;V;51;V;67;V;63;V;55;V;60;V;62;V;61;V;53;V;47;V;44;V;20;V;31;V;36;V;68;V;79;V;70;V;61;V;00000;N;00000;N;00000;N
28;079;39;83;28079039_83_98;2022;01;10.7;V;9.4;V;9.7;V;7.2;V;6.2;V;4.6;V;5.3;V;3.6;V;9.5;V;12.6;V;10.2;V;7.5;V;5.6;V;4.7;V;4.6;V;4.7;V;5.4;V;6;V;6.9;V;6.9;V;5.3;V;5.3;V;5.7;V;6.9;V;8.2;V;6.8;V;8.1;V;8.5;V;9;V;9.4;V;8.6;V
